inventory_id,vendor_id,department_code,department_name,lead_time_days,min_stock_limit,max_capacity,team_member,team_member_email,manager,manager_email
INV00001,V0052,DEPT_EME01,Emergency,17,85,170,Team_Member_7,team_member_7@hospital.org,Manager_2,manager_2@hospital.org
INV00002,V0113,DEPT_GYN02,Gynecology,29,148,592,Team_Member_20,team_member_20@hospital.org,Manager_6,manager_6@hospital.org
INV00003,V0014,DEPT_ICU03,ICU,4,104,208,Team_Member_15,team_member_15@hospital.org,Manager_3,manager_3@hospital.org
INV00004,V0128,DEPT_ONC04,Oncology,18,154,462,Team_Member_11,team_member_11@hospital.org,Manager_9,manager_9@hospital.org
INV00005,V0107,DEPT_ORT05,Orthopedics,13,156,312,Team_Member_8,team_member_8@hospital.org,Manager_4,manager_4@hospital.org
INV00006,V0014,DEPT_OUT06,Outpatient,4,157,471,Team_Member_7,team_member_7@hospital.org,Manager_1,manager_1@hospital.org
INV00007,V0125,DEPT_PED07,Pediatrics,14,197,591,Team_Member_19,team_member_19@hospital.org,Manager_4,manager_4@hospital.org
INV00008,V0111,DEPT_PHA08,Pharmacy,3,51,153,Team_Member_11,team_member_11@hospital.org,Manager_1,manager_1@hospital.org
INV00009,V0093,DEPT_RAD09,Radiology,23,149,447,Team_Member_11,team_member_11@hospital.org,Manager_5,manager_5@hospital.org
INV00010,V0198,DEPT_SUR10,Surgery,11,174,348,Team_Member_4,team_member_4@hospital.org,Manager_4,manager_4@hospital.org
INV00011,V0083,DEPT_EME01,Emergency,18,161,483,Team_Member_8,team_member_8@hospital.org,Manager_8,manager_8@hospital.org
INV00012,V0137,DEPT_GYN02,Gynecology,14,149,447,Team_Member_3,team_member_3@hospital.org,Manager_8,manager_8@hospital.org
INV00013,V0091,DEPT_ICU03,ICU,1,92,276,Team_Member_2,team_member_2@hospital.org,Manager_7,manager_7@hospital.org
INV00014,V0003,DEPT_ONC04,Oncology,24,186,372,Team_Member_12,team_member_12@hospital.org,Manager_3,manager_3@hospital.org
INV00015,V0136,DEPT_ORT05,Orthopedics,12,194,776,Team_Member_6,team_member_6@hospital.org,Manager_1,manager_1@hospital.org
INV00016,V0143,DEPT_OUT06,Outpatient,26,71,284,Team_Member_2,team_member_2@hospital.org,Manager_1,manager_1@hospital.org
INV00017,V0126,DEPT_PED07,Pediatrics,11,84,252,Team_Member_1,team_member_1@hospital.org,Manager_3,manager_3@hospital.org
INV00018,V0090,DEPT_PHA08,Pharmacy,13,62,186,Team_Member_12,team_member_12@hospital.org,Manager_6,manager_6@hospital.org
INV00019,V0106,DEPT_RAD09,Radiology,23,133,266,Team_Member_12,team_member_12@hospital.org,Manager_7,manager_7@hospital.org
INV00020,V0080,DEPT_SUR10,Surgery,21,133,399,Team_Member_17,team_member_17@hospital.org,Manager_6,manager_6@hospital.org
INV00021,V0027,DEPT_EME01,Emergency,6,121,363,Team_Member_10,team_member_10@hospital.org,Manager_6,manager_6@hospital.org
INV00022,V0047,DEPT_GYN02,Gynecology,25,70,210,Team_Member_16,team_member_16@hospital.org,Manager_6,manager_6@hospital.org
INV00023,V0101,DEPT_ICU03,ICU,28,188,376,Team_Member_15,team_member_15@hospital.org,Manager_3,manager_3@hospital.org
INV00024,V0017,DEPT_ONC04,Oncology,30,107,428,Team_Member_15,team_member_15@hospital.org,Manager_6,manager_6@hospital.org
INV00025,V0197,DEPT_ORT05,Orthopedics,23,60,120,Team_Member_19,team_member_19@hospital.org,Manager_8,manager_8@hospital.org
INV00026,V0118,DEPT_OUT06,Outpatient,22,101,202,Team_Member_12,team_member_12@hospital.org,Manager_2,manager_2@hospital.org
INV00027,V0143,DEPT_PED07,Pediatrics,26,111,222,Team_Member_20,team_member_20@hospital.org,Manager_5,manager_5@hospital.org
